Molecule,Target,Value,Unit,Parameter,ScaID
HDZZVAMISRMYHH-KCGFPETGSA-N,PDCD4,880.0,nM,IC50,Sca5458
HDZZVAMISRMYHH-KCGFPETGSA-N,PDCD4,880.0,nM,IC50,Sca2222
FAJWFKWBHUJFGG-YIWHDNQYSA-N,STAT3,750.0,nM,IC50,Sca6022
XPYZEKFFOCHGLU-UHFFFAOYSA-N,STAT3,200.0,nM,EC50,Sca5582
RHAHUACACWLHCL-UHFFFAOYSA-N,STAT3,130.0,nM,EC50,Sca5582
WPKWXHIWEVDVDI-JJSOOWBRSA-N,STAT3,300.0,nM,IC50,Sca254
OTFYTTXOONHBQZ-ZJWIYONQSA-N,STAT3,276.0,nM,IC50,Sca6022
ZEGBODHEWPGPOP-UHFFFAOYSA-N,STAT6,100.0,nM,IC50,Sca92074
XUEUXHGLEZXEKK-UHFFFAOYSA-N,SHH,2.2,nM,IC50,Sca2050
FMLHKAPHBJGWDQ-UHFFFAOYSA-N,SHH,1.3,nM,IC50,Sca2050
PCBUAQSVQWQAPU-UHFFFAOYSA-N,SHH,0.53,nM,IC50,Sca2050
CEJDBSAMQOQPMD-UHFFFAOYSA-N,SHH,1.2,nM,IC50,Sca2050
OFYSCZLGXWEMMT-UHFFFAOYSA-N,SHH,170.0,nM,IC50,Sca18118
XTCGGRNUDKFRID-UHFFFAOYSA-N,SHH,1.4,nM,IC50,Sca2050
PPCHGKPZIRTPDN-UHFFFAOYSA-N,SHH,52.0,nM,IC50,Sca615
YAAWKGXZQKNINY-UHFFFAOYSA-N,SHH,42.1,nM,IC50,Sca2050
XYIYXHLPGJGHQW-UHFFFAOYSA-N,SHH,158.5,nM,IC50,Sca2050
DYMWFFRVGYCZCP-UHFFFAOYSA-N,SHH,1.3,nM,IC50,Sca2050
HEMYZNPKDXXSKY-UHFFFAOYSA-N,SHH,70.0,nM,IC50,Sca12375
GDVALGPARCXXIX-UHFFFAOYSA-N,SHH,1.2,nM,IC50,Sca2050
MRSUEPXGFFTGJH-UHFFFAOYSA-N,SHH,1.6,nM,IC50,Sca2050
KSYOMFKYSRLDGS-UHFFFAOYSA-N,SHH,5.3,nM,IC50,Sca2050
XIVGLIFGANYWTO-UHFFFAOYSA-N,SHH,2.7,nM,IC50,Sca2050
VFYKVHFFNGGOIO-UHFFFAOYSA-N,SHH,200.0,nM,IC50,Sca46769
FRGQCWMZTZPBRJ-UHFFFAOYSA-N,SHH,0.8,nM,IC50,Sca2050
