"Target","Molecule"
"CP2D6","HGXZDFUNUJFDRQ-UHFFFAOYSA-N"
"CP24A","DDJXPAZBFKVUFW-ZHACJKMWSA-N"
"CP3A4","UXFHVEVFSFZCGS-UHFFFAOYSA-N"
"CP26A","UXFHVEVFSFZCGS-UHFFFAOYSA-N"
"CP19A","XPZLSAZRILMQEG-UHFFFAOYSA-N"
"CP3A4","GNSDDKAAHUFOKJ-UHFFFAOYSA-N"
"CP3A4","KNOIFPSQNXJZDE-UHFFFAOYSA-N"
"CP3A4","NLJHGKLCSVZNRM-UHFFFAOYSA-N"
"CP3A4","YXMQIWJYPNBZJS-QFIPXVFZSA-N"
"CP3A4","HQCQFKQGMPBYGP-HQXRPOMGSA-N"
"CP2CJ","HQCQFKQGMPBYGP-HQXRPOMGSA-N"
"CP2CJ","UYYCHKFCCDPBMQ-AFYCESQPSA-N"
"CP2C9","HQCQFKQGMPBYGP-HQXRPOMGSA-N"
"CP2C9","UYYCHKFCCDPBMQ-AFYCESQPSA-N"
"CP3A4","XTULNCWAJUYUIA-PNTNLKMUSA-N"
"CP3A4","KFENBNGSHOHELN-BSYJTBJZSA-N"
"CP3A4","JQONSQMAQRQLRF-KBSXYSMTSA-N"
"CP3A4","XRBFZYFJBUZBIE-NDIVSWGXSA-N"
"CP1B1","GBOIYIBKDOOVMK-UHFFFAOYSA-N"
"CP1A2","GBOIYIBKDOOVMK-UHFFFAOYSA-N"
"CP19A","BRWXOOIUQMUMHI-OCOZRVBESA-N"
"CP2C8","TYWWABBJXVGGPH-KRWDZBQOSA-N"
"C11B2","BFRUEBOGSICGKZ-UHFFFAOYSA-N"
"C11B1","BFRUEBOGSICGKZ-UHFFFAOYSA-N"
"CP19A","BFRUEBOGSICGKZ-UHFFFAOYSA-N"
"CP1A2","YLESIDOZBVSZQT-UHFFFAOYSA-N"
"CP51A","OCAPBUJLXMYKEJ-UHFFFAOYSA-N"
"CP17A","OCAPBUJLXMYKEJ-UHFFFAOYSA-N"
"CP17A","PAFKTGFSEFKSQG-PAASFTFBSA-N"
"C11B2","NKWUYAGAAIUZCU-UHFFFAOYSA-N"
"CP19A","NKWUYAGAAIUZCU-UHFFFAOYSA-N"
"CP1A1","MWCIWTVUVKVTQG-UHFFFAOYSA-N"
"CP2D6","AQTIPNCIMOFYSH-SDUSCBPUSA-N"
"CP17A","YIWNIULQOQYDHI-CEJNIXRPSA-N"
"CP19A","RFVQMQYIYHOBDE-UHFFFAOYSA-N"
"C11B2","MBAVDMJPGMKVTG-UHFFFAOYSA-N"
"C11B1","MBAVDMJPGMKVTG-UHFFFAOYSA-N"
"CP3A4","JSWZEAMFRNKZNL-UHFFFAOYSA-N"
