"","Target","Molecule","Scaffold"
"95","KIF11","VZEKPRMFWVRUJY-UHFFFAOYSA-N","Sca24288"
"96","GRB2","XWNQRYAPQUFUMS-VXKWHMMOSA-N","Sca7253"
"97","NISCH","SCIRNASYBOGBOO-UHFFFAOYSA-N","Sca219"
"98","NISCH","CQXADFVORZEARL-UHFFFAOYSA-N","Sca14740"
"99","PAI1","GINZDZUXJCCWBN-UHFFFAOYSA-N","Sca28370"
"100","ALBU","IQTBMDSOBZUIII-UHFFFAOYSA-N","Sca196086"
"101","RET4","JOYJBDOUGWZXJT-UHFFFAOYSA-N","Sca53380"
"102","RET4","KAAROBOCNKCFPR-UHFFFAOYSA-N","Sca53380"
"103","RET4","JTROMNJXIJLLPR-UHFFFAOYSA-N","Sca53380"
"104","RET4","ORLLCLBYZWKITR-UHFFFAOYSA-N","Sca32142"
"105","NPCL1","KKTCQIPPUNTAAA-CGUDRZBZSA-N","Sca10334"
"106","NPCL1","GXPXZNYXARNSJU-YRZXLHNISA-N","Sca10334"
"107","NPCL1","XSLPBDIUBNXKFX-ACBDEFBISA-N","Sca128"
"108","NPCL1","ZCVIBQLRHCRSAC-VPEWLHCBSA-N","Sca10334"
"109","NPCL1","MHJNIFPTUPTBCA-NISAUSBYSA-N","Sca128"
"110","NPCL1","FTJSRBDTNXQZRL-ANZMIORLSA-N","Sca10334"
"111","NPCL1","OLNTVTPDXPETLC-XPWALMASSA-N","Sca7699"
"112","SCRB1","FZLCUDHROXCSKR-UHFFFAOYSA-N","Sca771"
"113","SCRB1","TYOUBEAPKZQVRT-UHFFFAOYSA-N","Sca771"
"114","TRAP1","NDAZATDQFDPQBD-UHFFFAOYSA-N","Sca103054"
"115","ENPL","NDAZATDQFDPQBD-UHFFFAOYSA-N","Sca103054"
"116","KMO","PVGOQRJICUIPTG-UHFFFAOYSA-N","Sca4237"
"117","ITAL","WVTSKZKNRPBXCK-NRFANRHFSA-N","Sca48784"
"118","ITAL","OSHCCAHIHYVBQE-SFHVURJKSA-N","Sca48784"
"119","ITAL","PBWGNAKIFNSLLR-SFHVURJKSA-N","Sca48784"
"131","SC5A5","UYAOSISJVXIDNR-GOSISDBHSA-N","Sca7908"
"132","SC5A5","UYAOSISJVXIDNR-UHFFFAOYSA-N","Sca7908"
"133","CP27B","FANCTJAFZSYTIS-IQUVVAJASA-N","Sca15490"
"134","CP27B","QMVYNHXRCVEECP-ZHACJKMWSA-N","Sca247678"
"135","CP27B","GDKHKECTYMDENM-VAWYXSNFSA-N","Sca247678"
"136","CP27B","JNCMZCZFSIAVQJ-BQYQJAHWSA-N","Sca247678"
"137","CP27B","ILIVVUDENIQBQC-CMDGGOBGSA-N","Sca247678"
"138","CENPE","ZATPRXWLTXOXAQ-UHFFFAOYSA-N","Sca36695"
"139","PD1L1","ZBOYJODMIAUJHH-SANMLTNESA-N","Sca116604"
"140","PD1L1","WIPLIOVSJOEWFD-SANMLTNESA-N","Sca116604"
"141","PD1L1","GNYNBRZJXZBMFG-UHFFFAOYSA-N","Sca116604"
"142","OGRL1","WDFSHXFIISIKKK-ARDBLLEVSA-N","Sca7247"
"143","OGRL1","JHEVLALGAHRXET-TXBRMEKUSA-N","Sca7247"
"144","OGRL1","MYQNMAVASRUUIC-SPOUTXRISA-N","Sca7248"
"145","PADI4","HAEQQPWTMBVMLJ-UHFFFAOYSA-N","Sca2607"
"146","PADI4","UMMNKCUSQIKSGP-UHFFFAOYSA-N","Sca2607"
"147","PADI2","UMMNKCUSQIKSGP-UHFFFAOYSA-N","Sca2607"
"148","PADI2","HAEQQPWTMBVMLJ-UHFFFAOYSA-N","Sca2607"
"149","GCKR","RXLXBIHPMQBGOC-FUKCDUGKSA-N","Sca27558"
"150","SYUA","TUNFCKFZFPSXAU-VBKFSLOCSA-N","Sca6456"
"151","SYUA","YJAAMQCVFGGTKS-MTOANXPYSA-N","Sca6456"
"152","SYUA","DSRMGPWSWGJUFD-ZMVJNSKBSA-N","Sca6456"
"153","SYUA","FARYBMWDOPWSQD-LGMDPLHJSA-N","Sca6456"
