"","TargetName","Scaffold","MolNum"
"564","MCHR1_HUMAN","Sca11017",1
"565","CSF1R_HUMAN","Sca110218",1
"566","ALK_HUMAN","Sca110218",2
"567","INSR_HUMAN","Sca110218",2
"568","ROS1_HUMAN","Sca110218",1
"569","HCN1_HUMAN","Sca110219",1
"570","CATL1_HUMAN","Sca11025",4
"571","CATS_HUMAN","Sca11025",2
"572","CATB_RAT","Sca11025",1
"573","OPRD_RAT","Sca11030",3
"574","OPRD_MOUSE","Sca11030",1
"575","OPRK_HUMAN","Sca11030",1
"576","OPRM_RAT","Sca11030",4
"577","SMO_MOUSE","Sca110382",7
"578","KCNH2_HUMAN","Sca110383",3
"579","PKR1_HUMAN","Sca110383",1
"580","INSR_HUMAN","Sca110487",2
"581","MET_HUMAN","Sca110487",4
"582","SSR2_HUMAN","Sca110502",2
"583","SSR3_HUMAN","Sca110502",2
"584","SSR2_HUMAN","Sca110515",1
"585","SSR3_HUMAN","Sca110515",1
"586","SSR4_HUMAN","Sca110515",1
"587","HRH3_RAT","Sca11053",19
"588","HRH3_HUMAN","Sca11053",15
"589","MET_HUMAN","Sca11053",4
"590","SSR2_HUMAN","Sca110533",1
"591","SSR3_HUMAN","Sca110533",1
"592","SSR5_HUMAN","Sca110533",1
"593","VGFR2_HUMAN","Sca110561",1
"594","MET_MOUSE","Sca110561",1
"595","MET_HUMAN","Sca110561",8
"596","NPSR1_HUMAN","Sca110597",1
"597","5HT1B_HUMAN","Sca110603",1
"598","5HT1D_HUMAN","Sca110603",1
"599","GNRHR_HUMAN","Sca110603",1
"600","KCNH2_HUMAN","Sca110616",2
"601","OPRX_HUMAN","Sca110616",12
"602","VGFR3_HUMAN","Sca110643",1
"603","VGFR2_HUMAN","Sca110643",1
"604","TGFR1_HUMAN","Sca11067",1
"605","EGFR_HUMAN","Sca11067",1
"606","ERBB2_RAT","Sca11067",1
"607","MAP11_HUMAN","Sca110686",1
"608","PDE10_HUMAN","Sca110686",5
"609","KCNH2_HUMAN","Sca110721",3
"610","SC6A4_RAT","Sca110721",1
"611","SC6A4_HUMAN","Sca110721",12
"612","SC6A3_HUMAN","Sca110721",12
"613","SC6A2_HUMAN","Sca110721",12
"614","CP2D6_HUMAN","Sca110721",1
"615","DRD1_HUMAN","Sca110729",2
"616","DRD2_HUMAN","Sca110729",13
"617","GLR_HUMAN","Sca110801",2
"618","MCHR1_HUMAN","Sca110801",2
"619","GNRHR_RAT","Sca110860",28
"620","GNRHR_HUMAN","Sca110860",34
"621","ZAP70_HUMAN","Sca110865",3
"622","ALK_HUMAN","Sca110867",1
"623","ZAP70_HUMAN","Sca110867",3
"624","JAK3_HUMAN","Sca110867",1
"625","ACK1_HUMAN","Sca110867",1
"626","ROS1_HUMAN","Sca110867",1
"627","BKRB1_HUMAN","Sca110962",9
"628","OPRD_HUMAN","Sca110962",1
"629","OPRM_RAT","Sca110962",10
"630","CNR2_HUMAN","Sca110999",2
"631","CNR1_RAT","Sca110999",1
"632","CNR1_HUMAN","Sca110999",2
